name,opp,venue,lower,upper
Cristian Javier,LAA,home,6.194581814283152,8.536081303570947
Cole Irvin,LAA,home,3.889908440407908,6.4160250974132484
Dakota Hudson,LAA,home,2.595927903624763,5.034676921194042
Adrian Houser,LAA,home,3.60626879651438,6.114200853937891
Rich Hill,LAA,home,3.6511927269877376,6.1110631586460045
Elieser Hernandez,LAA,home,3.591246302723151,6.407870495728009
Kyle Hendricks,LAA,home,3.7265115144139465,6.1785481732524925
Jonathan Heasley,LAA,home,3.4822769341415327,6.405032644332158
Taylor Hearn,LAA,home,3.793878236798185,6.289658336301486
Vladimir Gutiérrez,LAA,home,2.32498729144354,5.298436848678357
Zack Greinke,LAA,home,2.507688103331681,5.14396657714217
Hunter Greene,LAA,home,5.973507555588916,8.41848799176899
Sonny Gray,LAA,home,4.75402629136434,7.594604132034689
Josiah Gray,LAA,home,5.812384262066054,8.225584838302193
Jon Gray,LAA,home,6.047919682476648,8.580196267587175
MacKenzie Gore,LAA,home,4.91230100250854,7.571880839527736
Marco Gonzales,LAA,home,2.9523074089843657,5.351890459252646
Tony Gonsolin,LAA,home,4.747960781812937,7.2274384955196
Austin Gomber,LAA,home,3.460629201508508,5.949557011738877
Lucas Giolito,LAA,home,6.225895744256595,8.72655212021964
Logan Gilbert,LAA,home,5.350215192191403,7.661928431099103
Kyle Gibson,LAA,home,4.065464176274492,6.471865981884736
Kevin Gausman,LAA,home,6.3090668900043925,8.726295222223467
Luis Garcia,LAA,home,5.696705117771124,8.147099156324844
Zac Gallen,LAA,home,4.829232105168234,7.3356924045076095
Max Fried,LAA,home,5.698609662870414,8.080873747783771
Kyle Freeland,LAA,home,3.5756984708052446,6.017611375443549
Chris Flexen,LAA,home,4.0711726473009815,6.446892153883859
Erick Fedde,LAA,home,3.6529877114013227,6.061619936918152
Alex Faedo,LAA,home,3.5627706641461647,6.404957005230436
Nathan Eovaldi,LAA,home,5.722713656687044,8.419964236423445
Zach Eflin,LAA,home,3.9965354941523206,6.6263195005385676
Dane Dunning,LAA,home,4.788822929439982,7.071732847306124
Reid Detmers,LAA,home,3.4201874696902395,6.150214097140363
Zach Davies,LAA,home,3.8923153021845742,6.397912117040827
Yu Darvish,LAA,home,5.29853973686494,7.808964710669437
Johnny Cueto,LAA,home,4.302612263537172,7.214466741352869
Nestor Cortes,LAA,home,6.1200800712652725,8.583418289625651
Patrick Corbin,LAA,home,4.415029106095928,6.796333084222762
Roansy Contreras,LAA,home,3.6278940184476944,6.481718455666483
Gerrit Cole,LAA,home,7.306202753452396,9.72748007253142
Alex Cobb,LAA,home,4.768427957279133,7.5159692578929445
Aaron Civale,LAA,home,4.044936046919592,6.998145481513161
Dylan Cease,LAA,home,7.6524258287837865,10.042617388520778
Luis Castillo,LAA,home,5.627473576199655,8.473127677515286
Humberto Castellanos,LAA,home,2.301309990287434,5.161193037846629
Carlos Carrasco,LAA,home,5.563533586154745,7.962771262030819
Corbin Burnes,LAA,home,7.5964015279208565,9.980218366878423
Dylan Bundy,LAA,home,3.770614515114718,6.327723863938478
Madison Bumgarner,LAA,home,3.341230896562284,5.720697902515903
Walker Buehler,LAA,home,4.410190524077765,7.150590392685825
Kris Bubic,LAA,home,2.7733265982643713,5.4654943293347715
JT Brubaker,LAA,home,4.914333734461324,7.365640878813488
Beau Brieske,LAA,home,3.329343205384223,5.961270406569113
Kyle Bradish,LAA,home,4.290419000382486,7.240082807697472
Paul Blackburn,LAA,home,4.196340780862139,6.569283838160743
Shane Bieber,LAA,home,5.9924213498255465,8.38794488984816
Jose Berrios,LAA,home,4.291603290092175,6.623877602269186
Chris Bassitt,LAA,home,6.135312379730871,8.638927850206601
Graham Ashcraft,LAA,home,2.886847857471945,5.991827952776278
Aaron Ashby,LAA,home,4.689315367470729,7.2052845933423155
Chris Archer,LAA,home,3.0691392726653164,5.549147736299249
Tyler Anderson,LAA,home,4.68079423596523,7.154921019467423
Ian Anderson,LAA,home,4.128800406515883,6.562991460892129
Sandy Alcantara,LAA,home,6.359847383056393,8.717540539552772
Joan Adon,LAA,home,3.400765756968105,6.027859089223518
Bruce Zimmermann,MIN,home,2.7299748137294824,5.372970758662291
